"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"01001","Flensburg, Stadt","SH",0,92.1,43.2,6.8,-5.5,52.2,9.1,42.5,-4.4,1.7
"01002","Kiel, Landeshauptstadt","SH",0,243.4,52.1,6.4,-3.1,52.9,7.9,42.5,-2.1,0.9
"01003","Lübeck, Hansestadt","SH",0,209.1,39.8,6,-3.9,50.1,8,45.5,-1.9,1.7
"01004","Neumünster, Stadt","SH",0,77,28.9,7.8,-1.5,49.9,7.2,46.2,-4,2.4
"01051","Dithmarschen","SH",0,130.2,23.9,4.9,-0.5,49.8,6.1,46.9,-3.2,0.9
"01053","Herzogtum Lauenburg","SH",0,200.3,34.3,4.8,-2.5,51.8,6.2,44.8,-2.8,2
"01054","Nordfriesland","SH",0,165.3,28.2,4.7,-0.4,52.5,7.4,43.3,-1.9,1.1
"01055","Ostholstein","SH",0,196.5,30.1,4.1,-2.6,50.4,6.3,46.2,-1.2,0.7
"01056","Pinneberg","SH",0,315.3,38.1,5.4,-1.3,52.3,6.1,44.3,-2.5,1.1
"01057","Plön","SH",0,127.8,34.6,3,-4.5,49.8,7.2,46.4,-1,1
"01058","Rendsburg-Eckernförde","SH",0,270,35,3.7,-2.5,51.1,6.5,45.3,-2.4,1.2
"01059","Schleswig-Flensburg","SH",0,198.1,31,3.7,-0.9,50.9,7.4,45,-2.1,1.1
"01060","Segeberg","SH",0,270.6,33.5,3.8,-0.7,53.3,5.5,43.5,-2.6,1.4
"01061","Steinburg","SH",0,128.5,28.1,4.8,-2.6,52.3,5.8,44.5,-3.3,1.3
"01062","Stormarn","SH",0,238.7,42.1,3.5,-2.4,52.6,5.8,44.1,-2.1,1.3
"02000","Hamburg, Freie und Hansestadt","HH",0,1737.9,55.5,6.5,-0.8,54.6,7.2,41.1,-1.6,0.7
"03101","Braunschweig, Stadt","NI",0,247.1,51.8,6.2,-7,51.8,5.7,45,-3.6,-0.4
"03102","Salzgitter, Stadt","NI",0,102.4,27.9,11.8,-3.8,42.7,9.1,53,-5.5,-1.2
"03103","Wolfsburg, Stadt","NI",0,125,38.6,10.8,-3.4,47,7,49.4,-3.8,0.1
"03151","Gifhorn","NI",0,172.2,33.2,6,-2.9,50.1,5.4,47.1,-3.5,0.1
"03153","Goslar","NI",0,124.1,31.9,5.8,-5,47.7,6.3,49,-2.6,-1.6
"03154","Helmstedt","NI",0,88.6,29.4,5.5,-2.6,48.7,5.5,48.5,-2.1,-0.8
"03155","Northeim","NI",0,124,30.2,5.1,-0.2,48.3,5.2,49.1,-2.3,1
"03157","Peine","NI",0,133.9,32.1,6.1,-3.7,49.7,5.4,47.5,-3.4,0.7
"03158","Wolfenbüttel","NI",0,115,37.9,4.6,-5.6,49.7,5.4,47.4,-2.3,0.1
"03159","Göttingen","NI",0,316.8,42.1,5.4,-3.7,50.6,5.7,46.3,-2.2,0.1
"03241","Region Hannover","NI",0,1104.5,46.5,7.6,-3.5,49.3,6.7,47.1,-2.3,-0.6
"03251","Diepholz","NI",0,214.7,32,5.5,-1.4,52.6,4.5,45,-2.6,0.3
"03252","Hameln-Pyrmont","NI",0,147,31.7,7.3,-4.4,46.6,6.7,50,-2.4,-1.1
"03254","Hildesheim","NI",0,260.8,37.4,5.8,-2.7,49.8,6.3,46.9,-2.6,0.8
"03255","Holzminden","NI",0,64.6,28.5,6.6,-0.4,47.5,6,49.5,-3.2,0.2
"03256","Nienburg (Weser)","NI",0,118.2,29.1,7.1,1.2,50.3,5.8,46.7,-3.5,-0.9
"03257","Schaumburg","NI",0,152.6,34.7,5.8,-4.2,50,4.9,47.4,-2.4,0.6
"03351","Celle","NI",0,168.2,30.9,6.6,-1.9,49,5.3,48.3,-2.2,-0.3
"03352","Cuxhaven","NI",0,195,29.4,5.2,-2.2,49.7,5.1,47.6,-1.6,0.1
"03353","Harburg","NI",0,256.4,39.3,4.6,-3,52.3,4.7,45.2,-2.3,0.6
"03354","Lüchow-Dannenberg","NI",0,45.6,31,4.3,-1,47.9,5,49.6,-2.5,1.1
"03355","Lüneburg","NI",0,172.9,43.1,4.7,-3,52.1,5.1,45.1,-0.9,0
"03356","Osterholz","NI",0,111.3,35.3,4,-1.5,51,4.3,46.7,-2.4,1
"03357","Rotenburg (Wümme)","NI",0,159.9,29.8,5.7,0,54.1,4.2,43.6,-2.7,0.3
"03358","Heidekreis","NI",0,138.1,28.3,6.7,-1,50.9,4.8,46.5,-3.6,0.3
"03359","Stade","NI",0,200.9,34.8,5.4,-1.8,50.2,5.7,46.8,-3.2,0.9
"03360","Uelzen","NI",0,88.3,28.7,5.2,-4.1,47.7,6.2,49.2,-2.5,1.3
"03361","Verden","NI",0,134.6,35.7,4.9,-0.8,52.3,3.9,45.6,-2.4,0.8
"03401","Delmenhorst, Stadt","NI",0,80.1,28.9,12.2,-0.7,44.8,8.7,50.9,-3.4,-0.4
"03402","Emden, Stadt","NI",0,48.3,32.5,7,-3.8,47.1,7.5,49.1,-3.5,-0.7
"03403","Oldenburg (Oldenburg), Stadt","NI",0,170.1,52.2,6.6,-5.2,53.4,6.1,43.2,-1.2,0.2
"03404","Osnabrück, Stadt","NI",0,161.5,53.9,8.1,-3.8,53.1,6.2,43.4,-1.4,-0.4
"03405","Wilhelmshaven, Stadt","NI",0,73.8,32,9,-3.4,45.1,8.5,50.7,-4.3,0.5
"03451","Ammerland","NI",0,124.1,32.2,5.3,-3.1,52.9,4.6,44.5,-0.9,0.4
"03452","Aurich","NI",0,185.2,27.9,4.9,-2.1,48.2,6,48.7,-2.4,0
"03453","Cloppenburg","NI",0,172.8,27.8,7.6,0.1,54.1,5,43.1,-4.9,0.3
"03454","Emsland","NI",0,323.4,31.7,7.6,-0.8,53.7,4.7,43.7,-5.1,0.6
"03455","Friesland","NI",0,98.3,29.4,4.6,-4.1,49.1,5.2,48.2,-1.7,0.9
"03456","Grafschaft Bentheim","NI",0,139.8,32.6,8.6,-1.6,53.7,4,44.1,-3.7,0.5
"03457","Leer","NI",0,165.5,26.6,5.9,-1.7,48.9,5.3,48.4,-3.1,0
"03458","Oldenburg","NI",0,128.1,33.1,6.1,-2.5,53.3,4.8,44,-2.7,0.1
"03459","Osnabrück","NI",0,350,31.8,6.3,-0.4,53.4,4.3,44.2,-2.4,-0.3
"03460","Vechta","NI",0,142.2,33.7,9.3,1,54.8,5.3,42.1,-3.4,0.7
"03461","Wesermarsch","NI",0,86.9,27.5,5.7,-2.3,48.8,6.8,47.7,-4.4,1.9
"03462","Wittmund","NI",0,54.9,24.6,5.4,-3.7,49,4.5,48.7,-2.4,0.8
"04011","Bremen, Stadt","HB",0,560.6,49.5,10.2,-1.3,48.6,8.8,46.7,-3.4,-0.2
"04012","Bremerhaven, Stadt","HB",0,116,33.2,14.5,-0.7,42.1,12.3,52,-4.6,0.4
"05111","Düsseldorf, Stadt","NRW",0,599,60.5,8.9,-2.9,50.9,7.8,44.8,-2.1,0.1
"05112","Duisburg, Stadt","NRW",0,492.8,39.9,15.2,-2.8,42.3,11.2,52.3,-4.8,0.7
"05113","Essen, Stadt","NRW",0,559.4,48.8,10.1,-4,47.1,8.3,48.6,-2.2,-0.7
"05114","Krefeld, Stadt","NRW",0,226.5,45.3,12.3,-4.5,47.3,7.5,48.8,-3.5,-0.7
"05116","Mönchengladbach, Stadt","NRW",0,258.8,43.9,11.9,-3.5,46.3,9.1,49.1,-3.6,0.5
"05117","Mülheim an der Ruhr, Stadt","NRW",0,168.8,47.1,9.5,-2.5,47.2,6.7,49.4,-2.4,0
"05119","Oberhausen, Stadt","NRW",0,208.3,36.6,11.8,-1.8,44.3,10,50.8,-3.4,-0.4
"05120","Remscheid, Stadt","NRW",0,110.8,38.2,12.5,1.9,48.4,6.7,48.1,-3,-2.3
"05122","Solingen, Klingenstadt","NRW",0,161.5,40.8,12.6,0.7,48.7,7,47.7,-2.4,0.3
"05124","Wuppertal, Stadt","NRW",0,350.4,45.8,12.3,-3.4,45.5,9.8,49.5,-4.2,0.6
"05154","Kleve","NRW",0,305.5,38.5,7.9,-1.8,52.1,5.6,44.8,-3.3,0.3
"05158","Mettmann","NRW",0,478,44.6,8.2,-3.2,47.2,6.7,49.4,-2.2,-0.1
"05162","Rhein-Kreis Neuss","NRW",0,446.5,47.6,7.8,-2,48.2,6.5,48.4,-2.7,0.5
"05166","Viersen","NRW",0,288.3,41.2,7,-1.5,51.3,5.1,46,-2,0.1
"05170","Wesel","NRW",0,443.6,39.4,7.7,-2.5,48.3,6.1,48.5,-2.1,-0.4
"05314","Bonn, Stadt","NRW",0,314.9,66.2,8.4,-3.4,49.4,7.8,46.4,-1.5,0.5
"05315","Köln, Stadt","NRW",0,997.3,61.5,9,-2.3,52.7,7.1,43.3,-1.9,0
"05316","Leverkusen, Stadt","NRW",0,164,45.2,11.5,-2.6,46.7,7.9,49.3,-3.4,0
"05334","Städteregion Aachen","NRW",0,567.1,51.1,8.6,-5.6,48.1,7.7,47.9,-4.9,0.5
"05358","Düren","NRW",0,268.9,39,8.6,-0.7,49.1,6.1,47.7,-3.5,0.7
"05362","Rhein-Erft-Kreis","NRW",0,463.8,45,8.6,-2,50,5.7,46.9,-2.4,0.3
"05366","Euskirchen","NRW",0,192.1,38.6,6.3,-1.9,49.8,5.5,47.3,-2.4,-1.1
"05370","Heinsberg","NRW",0,254.1,37.6,8.5,-1.8,49.7,6,47.2,-3.9,0.6
"05374","Oberbergischer Kreis","NRW",0,267.9,37.5,7.6,-0.5,49.5,6.3,47.1,-3.1,0.2
"05378","Rheinisch-Bergischer Kreis","NRW",0,277.2,48.5,6.6,-2.3,50.1,5.8,46.8,-1.9,0.6
"05382","Rhein-Sieg-Kreis","NRW",0,588.8,45.5,6.8,-3.2,49.9,6.1,46.9,-2.1,-0.2
"05512","Bottrop, Stadt","NRW",0,115.3,37.9,9.1,-4.3,47,6.3,49.8,-3,-0.2
"05513","Gelsenkirchen, Stadt","NRW",0,259.6,37.2,14.1,-2.9,41,11,53.9,-4.4,-0.5
"05515","Münster, Stadt","NRW",0,295.3,66.9,5.2,-2,56.4,5.6,40.2,0.8,-0.2
"05554","Borken","NRW",0,366.4,33.9,7.4,0.4,55.2,4.2,42.4,-3.6,-0.1
"05558","Coesfeld","NRW",0,216.7,40.6,4.7,-1.6,54.7,3.7,43.2,-2.3,0.3
"05562","Recklinghausen","NRW",0,607.4,38.6,8.3,-2.5,46.4,7.2,50,-2.9,0.1
"05566","Steinfurt","NRW",0,435.4,37.9,6.7,-0.8,53.8,4.4,43.7,-3.1,0.3
"05570","Warendorf","NRW",0,274.4,38.3,7,-0.6,52.1,5,45.2,-3.2,0.5
"05711","Bielefeld, Stadt","NRW",0,324.3,50.9,10.1,-1.2,48.8,7.3,47.4,-2.8,0.7
"05754","Gütersloh","NRW",0,352.4,38,9.2,1,51.1,5.8,45.7,-4.1,0.7
"05758","Herford","NRW",0,248.1,37.7,8.5,0,50.3,5.4,46.8,-3,0.5
"05762","Höxter","NRW",0,134.7,34.7,6.2,0.1,51.3,4.8,46.1,-3.3,-0.2
"05766","Lippe","NRW",0,341.1,39.3,6.8,-1,48.4,6.2,48.4,-3.1,-0.4
"05770","Minden-Lübbecke","NRW",0,313.5,35.7,8,-0.8,49.3,5.8,47.6,-3.5,0.7
"05774","Paderborn","NRW",0,308,43.4,7.2,0.3,52.5,5.8,44.2,-3.7,0.1
"05911","Bochum, Stadt","NRW",0,348,49.8,9,-5.4,48.3,7.8,47.6,-2.9,-1.2
"05913","Dortmund, Stadt","NRW",0,588.4,48.9,11.6,-3.1,46.4,9.6,48.7,-3.6,-0.2
"05914","Hagen, Stadt der FernUniversität","NRW",0,186.7,41.8,13.3,-1.6,44.8,9.3,50.6,-4.2,0.9
"05915","Hamm, Stadt","NRW",0,175.2,37,12.3,-1.1,46,8.4,49.7,-3.4,-0.5
"05916","Herne, Stadt","NRW",0,152.1,37.4,13.3,-0.7,44.5,9.3,50.9,-3.3,-1.1
"05954","Ennepe-Ruhr-Kreis","NRW",0,308.3,43,7.4,-2.5,49.2,6,47.7,-2.3,0
"05958","Hochsauerlandkreis","NRW",0,254.9,34.6,7.1,1.6,52.1,4.9,45.2,-4,0.2
"05962","Märkischer Kreis","NRW",0,403,35.4,10.7,-0.4,48.2,6.8,48.3,-4,0.6
"05966","Olpe","NRW",0,129.3,31.9,7.5,-1.3,53,4.9,44.2,-3.5,-0.8
"05970","Siegen-Wittgenstein","NRW",0,269.7,37.2,7,-1.3,50.1,5.9,46.7,-3.9,0.2
"05974","Soest","NRW",0,289.6,38.4,6.7,-1.4,51.2,5.4,45.9,-3.1,0.8
"05978","Unna","NRW",0,385.8,37,8.5,-1.9,48.2,6.7,48.4,-2.3,-0.3
"06411","Darmstadt, Wissenschaftsstadt","HE",0,158.5,63,8.2,-7,50.7,8.3,44.7,-3.9,-0.7
"06412","Frankfurt am Main, Stadt","HE",0,732.2,62,11.2,-2.9,51.6,8,43.9,-2.8,0.7
"06413","Offenbach am Main, Stadt","HE",0,127.4,48.9,15.7,-0.8,49.1,9,46.1,-5.7,0.9
"06414","Wiesbaden, Landeshauptstadt","HE",0,279.9,53,10.3,-3.7,48.8,7.9,47,-2.2,0.2
"06431","Bergstraße","HE",0,266.5,38.1,7.1,-3.2,50.5,5,46.8,-3,1.1
"06432","Darmstadt-Dieburg","HE",0,296.4,43.8,7.4,-5.6,50.6,5,46.8,-2.7,0.2
"06433","Groß-Gerau","HE",0,260.2,39.9,11.8,-3.5,48.2,6.9,48.2,-3.9,0.7
"06434","Hochtaunuskreis","HE",0,233.5,53.5,6.7,-5.5,49.6,5.2,47.7,-2.4,1.2
"06435","Main-Kinzig-Kreis","HE",0,406.2,37.1,8.3,-3.6,49.2,6.2,47.6,-3.3,0
"06436","Main-Taunus-Kreis","HE",0,232.1,51.7,7.5,-7,50.4,5.3,46.7,-2.1,0.1
"06437","Odenwaldkreis","HE",0,93.2,29.7,7.8,-1.9,48.6,6.1,48.3,-3,-0.4
"06438","Offenbach","HE",0,347.6,44.3,8.1,-3.9,49,6.1,47.9,-3.2,0.3
"06439","Rheingau-Taunus-Kreis","HE",0,181.2,44.8,6,-3.1,50.9,5,46.4,-1.5,0.3
"06440","Wetteraukreis","HE",0,300.8,40.4,6.2,-3.3,50.7,5.4,46.4,-2.4,0.4
"06531","Gießen","HE",0,256.1,46.9,7.2,-2.8,50.3,7,45.9,-2.1,-0.3
"06532","Lahn-Dill-Kreis","HE",0,246.2,32.2,7,-2,50.3,5,47,-2.7,0
"06533","Limburg-Weilburg","HE",0,168.2,34.4,7.3,-3.9,50.1,5.2,47.2,-3.7,0.1
"06534","Marburg-Biedenkopf","HE",0,237,43.5,6.5,-2.1,50.2,5.7,46.8,-1.7,-0.8
"06535","Vogelsbergkreis","HE",0,98.5,28.7,5.1,-2.5,50.7,4,47.2,-3.3,1.1
"06611","Kassel, documenta-Stadt","HE",0,190.9,50.9,10.8,-3.9,47.6,8.3,48.1,-3.2,-0.1
"06631","Fulda","HE",0,214.9,33,5.9,-1.1,51.9,4.6,45.6,-2.8,0
"06632","Hersfeld-Rotenburg","HE",0,116.4,28.4,6.4,-3.3,48.6,5.4,48.6,-3.6,0.4
"06633","Kassel","HE",0,225.2,34,4.3,-2.3,50.2,4.4,47.5,-2.2,0.4
"06634","Schwalm-Eder-Kreis","HE",0,174.5,31.1,5.7,-1.1,50.3,4.9,47.1,-2.7,-0.6
"06635","Waldeck-Frankenberg","HE",0,151,29.5,6.5,-1.1,50.8,5.4,46.3,-2.5,0.9
"06636","Werra-Meißner-Kreis","HE",0,94.9,28.8,4.7,-3.4,48.4,5.6,48.8,-2.2,-0.8
"07111","Koblenz, kreisfreie Stadt","RP",0,110,48.4,8.8,-5.4,50.3,7.2,45.9,-3.4,0.5
"07131","Ahrweiler","RP",0,126.2,37.4,5.2,-4.2,50.8,4,47.1,-2.8,-0.1
"07132","Altenkirchen (Westerwald)","RP",0,129.5,29,6.6,-3.9,50.1,5.3,47.1,-3.5,-0.1
"07133","Bad Kreuznach","RP",0,161.1,35.4,7.2,-4.4,48.6,6.4,48.1,-3,0.6
"07134","Birkenfeld","RP",0,80.6,29.1,6.9,-2.1,48.4,6.6,48.2,-3.4,0.3
"07135","Cochem-Zell","RP",0,60.1,28.5,5.3,0.5,52.2,3.8,45.7,-2.1,0.6
"07137","Mayen-Koblenz","RP",0,210.8,34.1,6.6,-3.1,51.2,5.3,45.9,-3,1
"07138","Neuwied","RP",0,183.7,32.7,7,-0.3,49.6,5.6,47.5,-3,0.6
"07140","Rhein-Hunsrück-Kreis","RP",0,103.4,33.1,5.2,-2.4,51.8,4.1,46,-3.2,1.7
"07141","Rhein-Lahn-Kreis","RP",0,122,32.6,6.3,-3.5,50,5.5,47.1,-3,-1
"07143","Westerwaldkreis","RP",0,203.9,30.8,6,-1.8,52.7,4.2,45,-3.3,0.8
"07211","Trier, kreisfreie Stadt","RP",0,100,52.9,5.8,-4.6,52.9,6.2,43.6,-1.5,0.3
"07231","Bernkastel-Wittlich","RP",0,110,29.5,6.1,0.5,53,4.4,44.6,-3.2,1
"07232","Eifelkreis Bitburg-Prüm","RP",0,97.6,29.4,7.3,1.8,53.1,4,44.6,-3,0.9
"07233","Vulkaneifel","RP",0,58.1,30,5.2,-0.7,51.3,4.2,46.5,-3.7,1.8
"07235","Trier-Saarburg","RP",0,144.8,36,4.5,-2.1,52.1,4.1,45.7,-2.3,1.1
"07311","Frankenthal (Pfalz), kreisfreie Stadt","RP",0,46.8,32.5,10.3,-2.6,46.5,6.5,50.3,-4.9,1.4
"07312","Kaiserslautern, kreisfreie Stadt","RP",0,97.5,45.8,8.3,-6.9,47.9,8.8,47.4,-4.3,-0.3
"07313","Landau in der Pfalz, kreisfreie Stadt","RP",0,46.3,51.7,5.5,-2.9,52.6,5.9,44.1,0,-0.8
"07314","Ludwigshafen am Rhein, kreisfreie Stadt","RP",0,168.5,36.8,14.1,-4.7,45.3,9.5,49.9,-4.8,-0.6
"07315","Mainz, kreisfreie Stadt","RP",0,216.5,62.9,8.5,-3.5,53.1,7.2,42.8,-1.5,-1.4
"07316","Neustadt an der Weinstraße, kreisfreie Stadt","RP",0,51.2,42.5,6.4,-5.2,48.3,5.9,48.7,-0.7,-0.5
"07317","Pirmasens, kreisfreie Stadt","RP",0,37.6,29.3,8.2,-0.1,45,9.5,50.2,-3.7,0.7
"07318","Speyer, kreisfreie Stadt","RP",0,47.1,41.3,7.4,-5.3,48.7,5.9,48.2,-2.3,-0.8
"07319","Worms, kreisfreie Stadt","RP",0,83.4,36,11.8,-1.1,48.6,7.2,47.7,-4.3,2
"07320","Zweibrücken, kreisfreie Stadt","RP",0,32.5,36.2,6.1,-3.3,47.9,5.4,49.4,-2.7,-0.8
"07331","Alzey-Worms","RP",0,127.5,32.2,4.8,-0.8,52.7,4.5,44.9,-2.8,-0.1
"07332","Bad Dürkheim","RP",0,131.9,37.5,5.2,-5.6,49.6,5.1,47.8,-2.6,0.1
"07333","Donnersbergkreis","RP",0,73.5,29.9,5.8,-1.5,49.9,5.5,47.2,-3.9,1.4
"07334","Germersheim","RP",0,129.2,32.7,8.1,-4,50.1,6.1,46.6,-3.7,0.9
"07335","Kaiserslautern","RP",0,104.8,31.8,5.7,-1.9,47.9,6,49.1,-2,0
"07336","Kusel","RP",0,67.8,27.6,4.2,-1.8,48.1,5.5,49,-2.5,2
"07337","Südliche Weinstraße","RP",0,110.7,35.5,4.9,-2.1,52,4.4,45.6,-1.8,-0.2
"07338","Rhein-Pfalz-Kreis","RP",0,152.8,36.7,5.9,-3.8,48.2,5.3,49.1,-2.4,0.3
"07339","Mainz-Bingen","RP",0,202.5,42.4,4.9,-4.2,52.6,4.4,45,-2,0.5
