"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"09178","Freising","BY",0,177.3,39.2,5.3,-3.8,58.3,5.6,38.2,-4.7,1.9
"09179","Fürstenfeldbruck","BY",0,211.1,39.7,4.4,-4.1,53.5,5.9,43.1,-2.1,1.9
"09180","Garmisch-Partenkirchen","BY",0,86.6,33.9,4.3,-0.5,53.1,8.9,41.7,-0.7,1.7
"09181","Landsberg am Lech","BY",0,116.8,36.8,2.7,-4.4,56.5,5.5,40.2,-2.3,2
"09182","Miesbach","BY",0,94.1,37.2,3.1,0.1,55.6,5.4,41.3,-1.2,0.3
"09183","Mühldorf a.Inn","BY",0,116,24.6,6.3,-1,55.2,6.4,41.1,-4.4,2.3
"09184","München","BY",0,340.7,51.8,3.8,-5.7,53.2,6.2,43.3,-2.4,1.9
"09185","Neuburg-Schrobenhausen","BY",0,95.3,23.1,5,-2,55.7,4.6,41.6,-4.5,1.5
"09186","Pfaffenhofen a.d.Ilm","BY",0,125.3,27.7,4.4,-1.7,56.4,4.3,41.1,-4.6,1.4
"09187","Rosenheim","BY",0,247.1,31.9,2.7,-2.9,56,4.2,41.5,-1.8,1.6
"09188","Starnberg","BY",0,135.1,51.5,3.4,-5.8,52.3,6.6,44,-0.9,1.6
"09189","Traunstein","BY",0,166.6,28.3,3.7,-2.4,55.4,5.6,41.3,-2.4,2.4
"09190","Weilheim-Schongau","BY",0,133.5,31.1,3.6,-2.4,54.7,6.1,41.8,-2.5,2.1
"09261","Landshut","BY",0,65.5,42.1,5.4,-3.6,55.3,7.3,40.3,-2.5,2.5
"09262","Passau","BY",0,50.5,42.9,5.6,-5.4,52.9,6.6,43.4,-2.4,2.1
"09263","Straubing","BY",0,43.7,31.5,5.6,-2.7,53.9,7.9,41.5,-4.1,0.9
"09271","Deggendorf","BY",0,116.8,23.6,4.2,-2.4,54.9,6.7,41.2,-3.8,2.3
"09272","Freyung-Grafenau","BY",0,76.6,17.3,3.8,-0.4,54.8,6.7,41.3,-2.4,1
"09273","Kelheim","BY",0,122,24.2,5,-2.7,55.5,5.5,41.3,-5.1,2.2
"09274","Landshut","BY",0,157.1,27.1,4,-3.2,53.4,5.1,43.7,-5,2.4
"09275","Passau","BY",0,188.2,20.6,3.8,-2.3,53.8,5.7,43,-2.8,2.4
"09276","Regen","BY",0,75.7,15.7,3.3,-1.7,54.2,7.6,41.4,-3.5,3.6
"09277","Rottal-Inn","BY",0,116.9,20.1,4,-1.1,56.8,4.9,40.3,-2.8,0.8
"09278","Straubing-Bogen","BY",0,100.5,22.1,4.6,-0.7,55.9,5,41.2,-3.9,1.4
"09279","Dingolfing-Landau","BY",0,97.4,21.7,6.1,-1.8,55.8,6.3,40.4,-6,2.7
"09361","Amberg","BY",0,40.5,28.2,4.7,-1.2,53.3,5.7,43.4,-3.6,1.1
"09362","Regensburg","BY",0,142.1,53.5,5.2,-6.1,57.2,6.2,39,-2,1.3
"09363","Weiden i.d.OPf.","BY",0,40.9,28.9,5.5,-3.9,54.1,8.8,40.7,-2.3,2
"09371","Amberg-Sulzbach","BY",0,100.4,20.7,3.5,-2.7,55.9,6.8,40.1,-3.7,2.1
"09372","Cham","BY",0,124.1,17.7,3.7,-1.3,56,5.5,40.7,-3.6,1.7
