souid,year,annual,winter_half_year,summer_half_year,winter_djf,spring_mam,summer_jja,autumn_son,january,february,march,april,may,june,july,august,september,october,november,december
4021,1990,11.01,7.4,14.83,6.08,10.59,17.7,10.25,5.23,8.06,8.57,8.37,14.75,15.86,17.63,19.55,12.57,12.35,5.77,3.07
4021,1991,9.81,5.46,14.6,1.8,9.51,17.49,10.22,2.88,-0.8,8.9,8.54,11.05,13.97,19.88,18.51,15.43,9.53,5.73,3.21
4021,1992,10.74,5.48,16.01,3.54,10.67,18.7,9.87,2.4,5.11,6.91,9.1,15.95,17.3,19.39,19.36,14.74,7.47,7.5,3.53
4021,1993,9.74,4.97,14.97,2.95,10.88,16.61,7.89,4.55,0.55,5.87,11.7,15.11,16.74,17.17,15.94,13.02,8.8,1.83,4.8
4021,1994,11.01,4.98,15.53,3.77,10.03,18.99,10.77,4.86,1.41,7.74,9.09,13.25,16.5,22.08,18.31,13.74,9.22,9.41,5.69
4021,1995,10.45,6.32,15.49,4.92,9.05,18.76,11.14,2.82,6.4,4.48,9.28,13.39,15.41,20.85,19.92,13.86,13.48,6,-0.84
4021,1996,8.57,3.47,14.23,-0.58,8.11,17.28,9.27,-0.63,-0.25,2.87,9.74,11.78,16.83,17.14,17.86,11.9,10.35,5.51,-0.51
4021,1997,10.2,4.69,15.07,1.39,9.65,18.28,9.66,-1.19,6.34,7.8,7.77,13.32,16.57,17.63,20.6,14.3,8.92,5.77,4.3
4021,1998,10.42,6.23,15.05,5.18,10.65,17.04,8.83,4.48,6.91,7.06,9.56,15.28,17.08,16.37,17.68,14.17,9.09,3.21,3.91
4021,1999,11.11,5.28,16.19,3.89,10.85,17.99,11.32,5.1,2.53,7.48,10.24,14.81,16.18,19.85,17.88,18.05,10.39,5.55,4.56
4021,2000,11.3,6.13,15.59,4.7,11.06,17.04,11.96,4.01,5.59,6.63,10.97,15.59,17.55,15.69,17.91,15.74,11.62,8.53,5.62
4021,2001,10.74,6.6,15.32,4.5,9.88,18.3,11.22,3.07,4.85,5.79,8.48,15.33,15.79,19.5,19.52,13.02,14.45,6.09,2.39
4021,2002,11.17,6.99,15.54,4.6,10.52,18.35,10.78,4.47,7.18,7.33,9.58,14.63,18.19,17.91,18.95,13.84,9.93,8.61,3.27
4021,2003,10.54,5.24,16.35,1.9,10.24,20.01,9.75,2.04,0.24,6.98,9.4,14.32,19.46,19.82,20.73,14.16,6.83,8.35,3.49
4021,2004,9.83,5.09,14.73,3.4,9.07,17.2,10.29,2.72,4.04,5.16,9.93,12.15,15.86,16.71,18.98,14.62,11.28,4.93,1.37
4021,2005,10.38,4.89,15.16,2.14,9.99,17.29,11.43,4.12,0.8,6.45,10.13,13.39,17.38,18.64,15.84,15.5,12.63,6.12,2.83
4021,2006,11.36,NA,16.52,NA,8.85,19.23,13.62,-0.29,NA,3.04,9.2,14.33,17.74,23.62,16.28,17.8,14.23,8.81,6.35
4021,2007,11.27,8.4,15.98,6.57,11.86,17.96,9.7,6.68,6.7,7.49,13.17,14.95,18.3,18.33,17.25,13.78,9.47,5.84,2.98
